date,popularity
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,11
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,6
2006-08,5
2006-09,5
2006-10,6
2006-11,5
2006-12,5
2007-01,5
2007-02,6
2007-03,7
2007-04,4
2007-05,3
2007-06,3
2007-07,3
2007-08,3
2007-09,3
2007-10,3
2007-11,3
2007-12,3
2008-01,3
2008-02,3
2008-03,3
2008-04,3
2008-05,3
2008-06,3
2008-07,3
2008-08,3
2008-09,3
2008-10,3
2008-11,4
2008-12,3
2009-01,3
2009-02,4
2009-03,3
2009-04,3
2009-05,3
2009-06,2
2009-07,2
2009-08,2
2009-09,3
2009-10,4
2009-11,3
2009-12,2
2010-01,2
2010-02,3
2010-03,3
2010-04,3
2010-05,2
2010-06,2
2010-07,1
2010-08,2
2010-09,3
2010-10,2
2010-11,3
2010-12,2
2011-01,2
2011-02,2
2011-03,3
2011-04,2
2011-05,2
2011-06,2
2011-07,1
2011-08,2
2011-09,2
2011-10,2
2011-11,2
2011-12,2
2012-01,2
2012-02,3
2012-03,3
2012-04,2
2012-05,3
2012-06,2
2012-07,2
2012-08,1
2012-09,2
2012-10,79
2012-11,35
2012-12,25
2013-01,32
2013-02,33
2013-03,36
2013-04,31
2013-05,33
2013-06,36
2013-07,38
2013-08,37
2013-09,34
2013-10,36
2013-11,38
2013-12,34
2014-01,40
2014-02,45
2014-03,47
2014-04,56
2014-05,51
2014-06,45
2014-07,45
2014-08,43
2014-09,45
2014-10,49
2014-11,51
2014-12,48
2015-01,52
2015-02,57
2015-03,91
2015-04,91
2015-05,93
2015-06,100
